loan_id,id,user_id,customer_id,loan_type,principal,principal_amount,tenure_months,interest_rate,interest_rate_apr,emi_amount,monthly_emi,months_paid,months_remaining,emi_day,next_due_date,status,nach_mandate_active,created_at
LN00147,LN00147,USR0090,USR0090,PERSONAL_LOAN,340000,340000.0,14,12.59,12.59,26240,26240.0,5,9,1,2026-09-01,ACTIVE,1,2024-09-12 00:00:00
LN00148,LN00148,USR0091,USR0091,VEHICLE_LOAN,780000,780000.0,52,10.13,10.13,18595,18595.0,7,45,2,2026-09-02,ACTIVE,1,2022-03-18 00:00:00
LN00149,LN00149,USR0092,USR0092,EDUCATION_LOAN,1620000,1620000.0,116,10.44,10.44,22234,22234.0,25,91,3,2026-09-03,ACTIVE,1,2024-04-08 00:00:00
LN00150,LN00150,USR0092,USR0092,PERSONAL_LOAN,600000,600000.0,58,15.76,15.76,14845,14845.0,5,53,9,2026-09-09,ACTIVE,1,2024-04-08 00:00:00
LN00151,LN00151,USR0093,USR0093,HOME_LOAN,3170000,3170000.0,206,7.52,7.52,27443,27443.0,39,167,10,2026-09-10,ACTIVE,1,2024-11-03 00:00:00
LN00152,LN00152,USR0094,USR0094,EDUCATION_LOAN,1840000,1840000.0,87,8.73,8.73,28618,28618.0,42,45,3,2026-09-03,ACTIVE,1,2021-11-27 00:00:00
LN00153,LN00153,USR0094,USR0094,HOME_LOAN,7560000,7560000.0,275,7.62,7.62,58217,58217.0,57,218,7,2026-09-07,ACTIVE,1,2021-11-27 00:00:00
LN00154,LN00154,USR0095,USR0095,VEHICLE_LOAN,550000,550000.0,42,8.41,8.41,15162,15162.0,22,20,4,2026-09-04,ACTIVE,1,2024-05-06 00:00:00
LN00155,LN00155,USR0095,USR0095,PERSONAL_LOAN,440000,440000.0,24,11.91,11.91,20694,20694.0,14,10,9,2026-09-09,ACTIVE,1,2024-05-06 00:00:00
LN00156,LN00156,USR0096,USR0096,CREDIT_CARD_DEBT,90000,90000.0,14,38.45,38.45,8079,8079.0,11,3,5,2026-09-05,ACTIVE,1,2021-01-18 00:00:00
LN00157,LN00157,USR0097,USR0097,EDUCATION_LOAN,900000,900000.0,75,9.83,9.83,16109,16109.0,7,68,1,2026-09-01,ACTIVE,1,2022-06-11 00:00:00
LN00158,LN00158,USR0098,USR0098,CREDIT_CARD_DEBT,80000,80000.0,17,31.44,31.44,5892,5892.0,1,16,7,2026-09-07,ACTIVE,1,2024-03-28 00:00:00
LN00159,LN00159,USR0098,USR0098,PERSONAL_LOAN,190000,190000.0,17,11.5,11.5,12165,12165.0,10,7,10,2026-09-10,ACTIVE,1,2024-03-28 00:00:00
LN00160,LN00160,USR0098,USR0098,EDUCATION_LOAN,1490000,1490000.0,90,8.54,8.54,22476,22476.0,13,77,2,2026-09-02,ACTIVE,1,2024-03-28 00:00:00
LN00161,LN00161,USR0099,USR0099,HOME_LOAN,6250000,6250000.0,172,7.71,7.71,60146,60146.0,11,161,5,2026-09-05,ACTIVE,1,2022-02-27 00:00:00
LN00162,LN00162,USR0100,USR0100,HOME_LOAN,3540000,3540000.0,149,9.43,9.43,40405,40405.0,20,129,7,2026-09-07,ACTIVE,1,2021-09-17 00:00:00
LN00163,LN00163,USR0100,USR0100,EDUCATION_LOAN,1170000,1170000.0,90,10.42,10.42,18788,18788.0,32,58,5,2026-09-05,ACTIVE,1,2021-09-17 00:00:00
LN00164,LN00164,USR0101,USR0101,CREDIT_CARD_DEBT,30000,30000.0,11,35.4,35.4,3233,3233.0,6,5,7,2026-09-07,ACTIVE,1,2023-01-26 00:00:00
LN00165,LN00165,USR0101,USR0101,EDUCATION_LOAN,1920000,1920000.0,83,9.8,9.8,31942,31942.0,12,71,8,2026-09-08,ACTIVE,1,2023-01-26 00:00:00
LN00166,LN00166,USR0102,USR0102,PERSONAL_LOAN,720000,720000.0,40,11.75,11.75,21841,21841.0,30,10,5,2026-09-05,ACTIVE,1,2022-06-14 00:00:00
LN00167,LN00167,USR0102,USR0102,VEHICLE_LOAN,410000,410000.0,50,10.44,10.44,10147,10147.0,18,32,10,2026-09-10,ACTIVE,1,2022-06-14 00:00:00
LN00168,LN00168,USR0103,USR0103,PERSONAL_LOAN,690000,690000.0,21,15.45,15.45,37709,37709.0,4,17,2,2026-09-02,ACTIVE,1,2022-11-09 00:00:00
LN00169,LN00169,USR0104,USR0104,VEHICLE_LOAN,440000,440000.0,70,11.12,11.12,8571,8571.0,27,43,10,2026-09-10,ACTIVE,1,2022-05-09 00:00:00
LN00170,LN00170,USR0105,USR0105,PERSONAL_LOAN,680000,680000.0,47,12.83,12.83,18482,18482.0,4,43,7,2026-09-07,ACTIVE,1,2024-10-18 00:00:00
LN00171,LN00171,USR0106,USR0106,CREDIT_CARD_DEBT,40000,40000.0,36,35.23,35.23,1815,1815.0,35,1,8,2026-09-08,ACTIVE,1,2024-06-10 00:00:00
LN00172,LN00172,USR0106,USR0106,EDUCATION_LOAN,1120000,1120000.0,96,9.76,9.76,16853,16853.0,57,39,4,2026-09-04,ACTIVE,1,2024-06-10 00:00:00
LN00173,LN00173,USR0107,USR0107,VEHICLE_LOAN,940000,940000.0,81,11.45,11.45,16714,16714.0,3,78,9,2026-09-09,ACTIVE,1,2024-03-12 00:00:00
LN00174,LN00174,USR0107,USR0107,HOME_LOAN,3300000,3300000.0,266,7.69,7.69,25879,25879.0,58,208,9,2026-09-09,ACTIVE,1,2024-03-12 00:00:00
LN00175,LN00175,USR0107,USR0107,PERSONAL_LOAN,120000,120000.0,48,14.03,14.03,3281,3281.0,44,4,10,2026-09-10,ACTIVE,1,2024-03-12 00:00:00
LN00176,LN00176,USR0108,USR0108,VEHICLE_LOAN,750000,750000.0,84,8.93,8.93,12040,12040.0,29,55,3,2026-09-03,ACTIVE,1,2023-07-09 00:00:00
LN00177,LN00177,USR0108,USR0108,PERSONAL_LOAN,370000,370000.0,22,13.77,13.77,19126,19126.0,7,15,4,2026-09-04,ACTIVE,1,2023-07-09 00:00:00
LN00178,LN00178,USR0109,USR0109,VEHICLE_LOAN,1190000,1190000.0,38,8.55,8.55,35857,35857.0,28,10,2,2026-09-02,ACTIVE,1,2024-07-21 00:00:00
LN00179,LN00179,USR0110,USR0110,EDUCATION_LOAN,1050000,1050000.0,112,9.28,9.28,14048,14048.0,41,71,3,2026-09-03,ACTIVE,1,2022-04-08 00:00:00
LN00180,LN00180,USR0110,USR0110,PERSONAL_LOAN,600000,600000.0,50,14.31,14.31,16000,16000.0,17,33,6,2026-09-06,ACTIVE,1,2022-04-08 00:00:00
LN00181,LN00181,USR0111,USR0111,HOME_LOAN,2770000,2770000.0,262,7.71,7.71,21884,21884.0,26,236,9,2026-09-09,ACTIVE,1,2021-03-02 00:00:00
LN00182,LN00182,USR0111,USR0111,EDUCATION_LOAN,1560000,1560000.0,80,9.74,9.74,26588,26588.0,55,25,5,2026-09-05,ACTIVE,1,2021-03-02 00:00:00
LN00183,LN00183,USR0114,USR0114,CREDIT_CARD_DEBT,230000,230000.0,20,27.45,27.45,14459,14459.0,1,19,10,2026-09-10,ACTIVE,1,2022-11-26 00:00:00
LN00184,LN00184,USR0115,USR0115,CREDIT_CARD_DEBT,70000,70000.0,22,30.39,30.39,4189,4189.0,14,8,2,2026-09-02,ACTIVE,1,2021-10-30 00:00:00
LN00185,LN00185,USR0116,USR0116,EDUCATION_LOAN,1230000,1230000.0,69,8.2,8.2,22417,22417.0,10,59,10,2026-09-10,ACTIVE,1,2022-11-10 00:00:00
LN00186,LN00186,USR0117,USR0117,PERSONAL_LOAN,260000,260000.0,18,13.47,13.47,16033,16033.0,4,14,5,2026-09-05,ACTIVE,1,2022-06-02 00:00:00
LN00187,LN00187,USR0118,USR0118,EDUCATION_LOAN,1440000,1440000.0,116,9.6,9.6,19098,19098.0,27,89,5,2026-09-05,ACTIVE,1,2022-05-25 00:00:00
LN00188,LN00188,USR0119,USR0119,EDUCATION_LOAN,930000,930000.0,101,10.01,10.01,13661,13661.0,32,69,10,2026-09-10,ACTIVE,1,2023-01-25 00:00:00
LN00189,LN00189,USR0120,USR0120,CREDIT_CARD_DEBT,170000,170000.0,11,34.04,34.04,18207,18207.0,5,6,7,2026-09-07,ACTIVE,1,2023-04-24 00:00:00
LN00190,LN00190,USR0120,USR0120,EDUCATION_LOAN,1570000,1570000.0,69,9.4,9.4,29541,29541.0,40,29,10,2026-09-10,ACTIVE,1,2023-04-24 00:00:00
LN00191,LN00191,USR0120,USR0120,HOME_LOAN,2360000,2360000.0,294,8.62,8.62,19307,19307.0,45,249,7,2026-09-07,ACTIVE,1,2023-04-24 00:00:00
LN00192,LN00192,USR0121,USR0121,PERSONAL_LOAN,220000,220000.0,33,14.3,14.3,8102,8102.0,16,17,1,2026-09-01,ACTIVE,1,2022-11-12 00:00:00
LN00193,LN00193,USR0121,USR0121,VEHICLE_LOAN,400000,400000.0,83,10.14,10.14,6725,6725.0,31,52,5,2026-09-05,ACTIVE,1,2022-11-12 00:00:00
LN00194,LN00194,USR0122,USR0122,VEHICLE_LOAN,650000,650000.0,37,11.02,11.02,20801,20801.0,22,15,5,2026-09-05,ACTIVE,1,2021-04-24 00:00:00
LN00195,LN00195,USR0123,USR0123,VEHICLE_LOAN,860000,860000.0,53,11.18,11.18,20635,20635.0,32,21,2,2026-09-02,ACTIVE,1,2021-02-27 00:00:00
LN00196,LN00196,USR0124,USR0124,PERSONAL_LOAN,260000,260000.0,31,12.7,12.7,9882,9882.0,24,7,8,2026-09-08,ACTIVE,1,2023-05-26 00:00:00
LN00197,LN00197,USR0124,USR0124,CREDIT_CARD_DEBT,60000,60000.0,30,41.86,41.86,3258,3258.0,27,3,6,2026-09-06,ACTIVE,1,2023-05-26 00:00:00
LN00198,LN00198,USR0125,USR0125,VEHICLE_LOAN,740000,740000.0,74,11.37,11.37,13958,13958.0,42,32,2,2026-09-02,ACTIVE,1,2023-12-09 00:00:00
LN00199,LN00199,USR0125,USR0125,EDUCATION_LOAN,1230000,1230000.0,72,9.87,9.87,22706,22706.0,29,43,4,2026-09-04,ACTIVE,1,2023-12-09 00:00:00
LN00200,LN00200,USR0127,USR0127,EDUCATION_LOAN,600000,600000.0,108,10.48,10.48,8604,8604.0,34,74,6,2026-09-06,ACTIVE,1,2022-12-16 00:00:00
LN00201,LN00201,USR0127,USR0127,CREDIT_CARD_DEBT,200000,200000.0,32,36.76,36.76,9894,9894.0,2,30,9,2026-09-09,ACTIVE,1,2022-12-16 00:00:00
LN00202,LN00202,USR0128,USR0128,PERSONAL_LOAN,310000,310000.0,16,11.95,11.95,21056,21056.0,5,11,9,2026-09-09,ACTIVE,1,2022-09-04 00:00:00
LN00203,LN00203,USR0129,USR0129,CREDIT_CARD_DEBT,40000,40000.0,10,40.87,40.87,4787,4787.0,9,1,10,2026-09-10,ACTIVE,1,2022-12-14 00:00:00
LN00204,LN00204,USR0130,USR0130,HOME_LOAN,3830000,3830000.0,164,8.29,8.29,39102,39102.0,13,151,4,2026-09-04,ACTIVE,1,2023-05-08 00:00:00
LN00205,LN00205,USR0131,USR0131,HOME_LOAN,5600000,5600000.0,128,8.53,8.53,66776,66776.0,30,98,1,2026-09-01,ACTIVE,1,2023-09-27 00:00:00
LN00206,LN00206,USR0131,USR0131,PERSONAL_LOAN,740000,740000.0,35,13.23,13.23,25599,25599.0,13,22,5,2026-09-05,ACTIVE,1,2023-09-27 00:00:00
LN00207,LN00207,USR0132,USR0132,EDUCATION_LOAN,1760000,1760000.0,92,8.63,8.63,26218,26218.0,26,66,2,2026-09-02,ACTIVE,1,2022-10-16 00:00:00
LN00208,LN00208,USR0132,USR0132,VEHICLE_LOAN,1130000,1130000.0,79,8.47,8.47,18710,18710.0,2,77,4,2026-09-04,ACTIVE,1,2022-10-16 00:00:00
LN00209,LN00209,USR0133,USR0133,EDUCATION_LOAN,1010000,1010000.0,91,10.63,10.63,16213,16213.0,39,52,8,2026-09-08,ACTIVE,1,2022-12-09 00:00:00
LN00210,LN00210,USR0134,USR0134,PERSONAL_LOAN,660000,660000.0,49,14.85,14.85,18044,18044.0,36,13,6,2026-09-06,ACTIVE,1,2021-03-21 00:00:00
LN00211,LN00211,USR0134,USR0134,EDUCATION_LOAN,890000,890000.0,82,8.24,8.24,14231,14231.0,11,71,5,2026-09-05,ACTIVE,1,2021-03-21 00:00:00
LN00212,LN00212,USR0135,USR0135,PERSONAL_LOAN,220000,220000.0,30,14.32,14.32,8767,8767.0,1,29,7,2026-09-07,ACTIVE,1,2021-11-09 00:00:00
LN00213,LN00213,USR0136,USR0136,PERSONAL_LOAN,780000,780000.0,22,14.03,14.03,40415,40415.0,19,3,4,2026-09-04,ACTIVE,1,2022-05-27 00:00:00
LN00214,LN00214,USR0137,USR0137,PERSONAL_LOAN,190000,190000.0,25,15.24,15.24,8918,8918.0,9,16,7,2026-09-07,ACTIVE,1,2024-10-17 00:00:00
LN00215,LN00215,USR0137,USR0137,CREDIT_CARD_DEBT,230000,230000.0,22,32.77,32.77,14046,14046.0,1,21,1,2026-09-01,ACTIVE,1,2024-10-17 00:00:00
LN00216,LN00216,USR0137,USR0137,VEHICLE_LOAN,810000,810000.0,66,11.06,11.06,16436,16436.0,59,7,3,2026-09-03,ACTIVE,1,2024-10-17 00:00:00
LN00217,LN00217,USR0138,USR0138,VEHICLE_LOAN,700000,700000.0,74,9.59,9.59,12567,12567.0,52,22,1,2026-09-01,ACTIVE,1,2021-12-28 00:00:00
LN00218,LN00218,USR0139,USR0139,VEHICLE_LOAN,570000,570000.0,52,8.27,8.27,13080,13080.0,39,13,5,2026-09-05,ACTIVE,1,2021-02-05 00:00:00
LN00219,LN00219,USR0141,USR0141,VEHICLE_LOAN,1160000,1160000.0,63,10.2,10.2,23857,23857.0,58,5,7,2026-09-07,ACTIVE,1,2024-10-26 00:00:00
LN00220,LN00220,USR0142,USR0142,EDUCATION_LOAN,1090000,1090000.0,76,8.94,8.94,18835,18835.0,14,62,8,2026-09-08,ACTIVE,1,2022-12-21 00:00:00
LN00221,LN00221,USR0142,USR0142,VEHICLE_LOAN,710000,710000.0,55,9.76,9.76,16063,16063.0,44,11,9,2026-09-09,ACTIVE,1,2022-12-21 00:00:00
LN00222,LN00222,USR0144,USR0144,CREDIT_CARD_DEBT,70000,70000.0,24,35.15,35.15,4102,4102.0,4,20,1,2026-09-01,ACTIVE,1,2024-04-26 00:00:00
LN00223,LN00223,USR0145,USR0145,CREDIT_CARD_DEBT,50000,50000.0,23,25.1,25.1,2761,2761.0,21,2,10,2026-09-10,ACTIVE,1,2021-06-02 00:00:00
LN00224,LN00224,USR0145,USR0145,VEHICLE_LOAN,980000,980000.0,74,9.84,9.84,17718,17718.0,19,55,5,2026-09-05,ACTIVE,1,2021-06-02 00:00:00
LN00225,LN00225,USR0146,USR0146,HOME_LOAN,7970000,7970000.0,243,7.62,7.62,64452,64452.0,5,238,6,2026-09-06,ACTIVE,1,2021-11-02 00:00:00
LN00226,LN00226,USR0147,USR0147,EDUCATION_LOAN,1970000,1970000.0,100,8.72,8.72,27785,27785.0,21,79,5,2026-09-05,ACTIVE,1,2021-09-19 00:00:00
LN00227,LN00227,USR0148,USR0148,EDUCATION_LOAN,590000,590000.0,101,8.91,8.91,8324,8324.0,46,55,5,2026-09-05,ACTIVE,1,2021-08-30 00:00:00
LN00228,LN00228,USR0149,USR0149,PERSONAL_LOAN,580000,580000.0,21,10.84,10.84,30446,30446.0,17,4,4,2026-09-04,ACTIVE,1,2023-08-07 00:00:00
LN00229,LN00229,USR0150,USR0150,HOME_LOAN,7980000,7980000.0,289,9.13,9.13,68362,68362.0,21,268,3,2026-09-03,ACTIVE,1,2024-12-02 00:00:00
LN00230,LN00230,USR0150,USR0150,EDUCATION_LOAN,1380000,1380000.0,106,8.92,8.92,18860,18860.0,2,104,8,2026-09-08,ACTIVE,1,2024-12-02 00:00:00
LN00231,LN00231,USR0151,USR0151,VEHICLE_LOAN,730000,730000.0,62,9.7,9.7,15017,15017.0,26,36,7,2026-09-07,ACTIVE,1,2024-01-11 00:00:00
LN00232,LN00232,USR0151,USR0151,CREDIT_CARD_DEBT,50000,50000.0,29,39.96,39.96,2715,2715.0,2,27,10,2026-09-10,ACTIVE,1,2024-01-11 00:00:00
LN00233,LN00233,USR0152,USR0152,CREDIT_CARD_DEBT,60000,60000.0,32,30.62,30.62,2766,2766.0,7,25,6,2026-09-06,ACTIVE,1,2024-05-14 00:00:00
LN00234,LN00234,USR0153,USR0153,VEHICLE_LOAN,1030000,1030000.0,79,10.93,10.93,18343,18343.0,35,44,8,2026-09-08,ACTIVE,1,2021-09-04 00:00:00
LN00235,LN00235,USR0154,USR0154,EDUCATION_LOAN,420000,420000.0,92,9.25,9.25,6391,6391.0,20,72,3,2026-09-03,ACTIVE,1,2024-10-05 00:00:00
LN00236,LN00236,USR0155,USR0155,CREDIT_CARD_DEBT,20000,20000.0,11,28.68,28.68,2089,2089.0,5,6,2,2026-09-02,ACTIVE,1,2022-04-27 00:00:00
LN00237,LN00237,USR0156,USR0156,EDUCATION_LOAN,620000,620000.0,107,9.61,9.61,8649,8649.0,17,90,9,2026-09-09,ACTIVE,1,2021-01-04 00:00:00
LN00238,LN00238,USR0156,USR0156,PERSONAL_LOAN,250000,250000.0,60,10.57,10.57,5382,5382.0,59,1,3,2026-09-03,ACTIVE,1,2021-01-04 00:00:00
LN00239,LN00239,USR0157,USR0157,EDUCATION_LOAN,1960000,1960000.0,101,10.4,10.4,29202,29202.0,6,95,4,2026-09-04,ACTIVE,1,2024-03-04 00:00:00
LN00240,LN00240,USR0158,USR0158,EDUCATION_LOAN,1180000,1180000.0,107,8.33,8.33,15663,15663.0,56,51,5,2026-09-05,ACTIVE,1,2021-09-21 00:00:00
LN00241,LN00241,USR0158,USR0158,PERSONAL_LOAN,480000,480000.0,38,13.0,13.0,15477,15477.0,22,16,6,2026-09-06,ACTIVE,1,2021-09-21 00:00:00
LN00242,LN00242,USR0159,USR0159,VEHICLE_LOAN,300000,300000.0,65,9.95,9.95,5989,5989.0,55,10,2,2026-09-02,ACTIVE,1,2022-06-17 00:00:00
LN00243,LN00243,USR0159,USR0159,CREDIT_CARD_DEBT,50000,50000.0,21,29.84,29.84,3085,3085.0,2,19,10,2026-09-10,ACTIVE,1,2022-06-17 00:00:00
LN00244,LN00244,USR0160,USR0160,CREDIT_CARD_DEBT,130000,130000.0,21,30.77,30.77,8083,8083.0,7,14,9,2026-09-09,ACTIVE,1,2021-05-02 00:00:00
LN00245,LN00245,USR0160,USR0160,HOME_LOAN,4370000,4370000.0,150,8.42,8.42,47199,47199.0,56,94,7,2026-09-07,ACTIVE,1,2021-05-02 00:00:00
LN00246,LN00246,USR0161,USR0161,EDUCATION_LOAN,1830000,1830000.0,86,10.87,10.87,30724,30724.0,4,82,3,2026-09-03,ACTIVE,1,2023-02-07 00:00:00
LN00247,LN00247,USR0162,USR0162,PERSONAL_LOAN,320000,320000.0,33,14.28,14.28,11782,11782.0,27,6,10,2026-09-10,ACTIVE,1,2022-08-11 00:00:00
LN00248,LN00248,USR0162,USR0162,CREDIT_CARD_DEBT,120000,120000.0,34,28.58,28.58,5189,5189.0,30,4,3,2026-09-03,ACTIVE,1,2022-08-11 00:00:00
LN00249,LN00249,USR0163,USR0163,VEHICLE_LOAN,240000,240000.0,67,11.61,11.61,4884,4884.0,22,45,3,2026-09-03,ACTIVE,1,2022-05-06 00:00:00
LN00250,LN00250,USR0163,USR0163,PERSONAL_LOAN,420000,420000.0,32,14.0,14.0,15803,15803.0,21,11,1,2026-09-01,ACTIVE,1,2022-05-06 00:00:00
LN00251,LN00251,USR0163,USR0163,HOME_LOAN,5960000,5960000.0,121,9.29,9.29,76054,76054.0,29,92,5,2026-09-05,ACTIVE,1,2022-05-06 00:00:00
LN00252,LN00252,USR0164,USR0164,VEHICLE_LOAN,810000,810000.0,84,8.27,8.27,12734,12734.0,50,34,3,2026-09-03,ACTIVE,1,2024-06-18 00:00:00
LN00253,LN00253,USR0165,USR0165,CREDIT_CARD_DEBT,50000,50000.0,30,37.27,37.27,2586,2586.0,6,24,8,2026-09-08,ACTIVE,1,2021-11-08 00:00:00
LN00254,LN00254,USR0166,USR0166,HOME_LOAN,6080000,6080000.0,277,7.58,7.58,46540,46540.0,28,249,7,2026-09-07,ACTIVE,1,2021-04-10 00:00:00
LN00255,LN00255,USR0166,USR0166,PERSONAL_LOAN,160000,160000.0,37,14.44,14.44,5384,5384.0,28,9,8,2026-09-08,ACTIVE,1,2021-04-10 00:00:00
LN00256,LN00256,USR0167,USR0167,EDUCATION_LOAN,510000,510000.0,60,8.04,8.04,10351,10351.0,3,57,9,2026-09-09,ACTIVE,1,2023-01-12 00:00:00
LN00257,LN00257,USR0168,USR0168,VEHICLE_LOAN,940000,940000.0,56,9.41,9.41,20805,20805.0,49,7,9,2026-09-09,ACTIVE,1,2021-04-28 00:00:00
LN00258,LN00258,USR0168,USR0168,HOME_LOAN,3780000,3780000.0,168,8.2,8.2,37902,37902.0,2,166,1,2026-09-01,ACTIVE,1,2021-04-28 00:00:00
LN00259,LN00259,USR0169,USR0169,PERSONAL_LOAN,560000,560000.0,31,11.52,11.52,20972,20972.0,5,26,2,2026-09-02,ACTIVE,1,2021-11-19 00:00:00
LN00260,LN00260,USR0169,USR0169,VEHICLE_LOAN,370000,370000.0,60,8.39,8.39,7572,7572.0,33,27,10,2026-09-10,ACTIVE,1,2021-11-19 00:00:00
LN00261,LN00261,USR0170,USR0170,VEHICLE_LOAN,960000,960000.0,40,9.06,9.06,27896,27896.0,3,37,5,2026-09-05,ACTIVE,1,2023-09-26 00:00:00
LN00262,LN00262,USR0170,USR0170,PERSONAL_LOAN,110000,110000.0,30,10.95,10.95,4208,4208.0,15,15,9,2026-09-09,ACTIVE,1,2023-09-26 00:00:00
LN00263,LN00263,USR0171,USR0171,CREDIT_CARD_DEBT,90000,90000.0,19,37.85,37.85,6369,6369.0,5,14,6,2026-09-06,ACTIVE,1,2021-03-21 00:00:00
LN00264,LN00264,USR0171,USR0171,VEHICLE_LOAN,820000,820000.0,67,9.53,9.53,15830,15830.0,23,44,4,2026-09-04,ACTIVE,1,2021-03-21 00:00:00
LN00265,LN00265,USR0172,USR0172,PERSONAL_LOAN,180000,180000.0,37,13.88,13.88,6008,6008.0,2,35,4,2026-09-04,ACTIVE,1,2023-12-29 00:00:00
LN00266,LN00266,USR0173,USR0173,PERSONAL_LOAN,550000,550000.0,25,13.42,13.42,25341,25341.0,24,1,1,2026-09-01,ACTIVE,1,2023-12-27 00:00:00
LN00267,LN00267,USR0173,USR0173,CREDIT_CARD_DEBT,30000,30000.0,24,41.43,41.43,1859,1859.0,17,7,3,2026-09-03,ACTIVE,1,2023-12-27 00:00:00
LN00268,LN00268,USR0174,USR0174,PERSONAL_LOAN,300000,300000.0,57,15.89,15.89,7530,7530.0,42,15,1,2026-09-01,ACTIVE,1,2024-03-17 00:00:00
LN00269,LN00269,USR0174,USR0174,VEHICLE_LOAN,800000,800000.0,60,10.33,10.33,17128,17128.0,57,3,5,2026-09-05,ACTIVE,1,2024-03-17 00:00:00
LN00270,LN00270,USR0175,USR0175,PERSONAL_LOAN,670000,670000.0,15,14.11,14.11,48983,48983.0,11,4,2,2026-09-02,ACTIVE,1,2022-11-23 00:00:00
LN00271,LN00271,USR0175,USR0175,EDUCATION_LOAN,600000,600000.0,101,9.01,9.01,8496,8496.0,54,47,1,2026-09-01,ACTIVE,1,2022-11-23 00:00:00
LN00272,LN00272,USR0176,USR0176,HOME_LOAN,3350000,3350000.0,226,8.24,8.24,29228,29228.0,29,197,7,2026-09-07,ACTIVE,1,2023-04-04 00:00:00
LN00273,LN00273,USR0176,USR0176,CREDIT_CARD_DEBT,120000,120000.0,9,31.91,31.91,15168,15168.0,5,4,8,2026-09-08,ACTIVE,1,2023-04-04 00:00:00
LN00274,LN00274,USR0177,USR0177,VEHICLE_LOAN,1140000,1140000.0,49,8.96,8.96,27866,27866.0,45,4,1,2026-09-01,ACTIVE,1,2024-09-16 00:00:00
LN00275,LN00275,USR0178,USR0178,EDUCATION_LOAN,720000,720000.0,93,10.66,10.66,11408,11408.0,18,75,10,2026-09-10,ACTIVE,1,2021-03-23 00:00:00
LN00276,LN00276,USR0178,USR0178,HOME_LOAN,5870000,5870000.0,275,8.07,8.07,46901,46901.0,45,230,3,2026-09-03,ACTIVE,1,2021-03-23 00:00:00
LN00277,LN00277,USR0178,USR0178,VEHICLE_LOAN,1020000,1020000.0,62,11.45,11.45,21871,21871.0,54,8,2,2026-09-02,ACTIVE,1,2021-03-23 00:00:00
LN00278,LN00278,USR0179,USR0179,CREDIT_CARD_DEBT,230000,230000.0,9,28.54,28.54,28690,28690.0,2,7,8,2026-09-08,ACTIVE,1,2021-08-07 00:00:00
LN00279,LN00279,USR0179,USR0179,HOME_LOAN,6530000,6530000.0,170,8.42,8.42,65891,65891.0,39,131,4,2026-09-04,ACTIVE,1,2021-08-07 00:00:00
LN00280,LN00280,USR0179,USR0179,PERSONAL_LOAN,690000,690000.0,28,14.51,14.51,29197,29197.0,27,1,9,2026-09-09,ACTIVE,1,2021-08-07 00:00:00
LN00281,LN00281,USR0180,USR0180,VEHICLE_LOAN,860000,860000.0,81,8.71,8.71,14080,14080.0,27,54,5,2026-09-05,ACTIVE,1,2022-02-17 00:00:00
LN00282,LN00282,USR0180,USR0180,CREDIT_CARD_DEBT,150000,150000.0,11,41.72,41.72,16643,16643.0,1,10,9,2026-09-09,ACTIVE,1,2022-02-17 00:00:00
LN00283,LN00283,USR0181,USR0181,EDUCATION_LOAN,470000,470000.0,119,8.49,8.49,5856,5856.0,31,88,6,2026-09-06,ACTIVE,1,2021-03-15 00:00:00
LN00284,LN00284,USR0181,USR0181,PERSONAL_LOAN,190000,190000.0,27,14.49,14.49,8288,8288.0,1,26,1,2026-09-01,ACTIVE,1,2021-03-15 00:00:00
LN00285,LN00285,USR0181,USR0181,VEHICLE_LOAN,1020000,1020000.0,78,8.85,8.85,17244,17244.0,6,72,2,2026-09-02,ACTIVE,1,2021-03-15 00:00:00
LN00286,LN00286,USR0182,USR0182,CREDIT_CARD_DEBT,210000,210000.0,10,37.19,37.19,24743,24743.0,2,8,9,2026-09-09,ACTIVE,1,2023-10-08 00:00:00
LN00287,LN00287,USR0182,USR0182,EDUCATION_LOAN,1270000,1270000.0,64,9.77,9.77,25540,25540.0,47,17,2,2026-09-02,ACTIVE,1,2023-10-08 00:00:00
LN00288,LN00288,USR0183,USR0183,EDUCATION_LOAN,880000,880000.0,101,9.7,9.7,12781,12781.0,15,86,8,2026-09-08,ACTIVE,1,2023-04-25 00:00:00
LN00289,LN00289,USR0184,USR0184,VEHICLE_LOAN,1070000,1070000.0,65,10.55,10.55,21681,21681.0,4,61,2,2026-09-02,ACTIVE,1,2023-03-02 00:00:00
LN00290,LN00290,USR0184,USR0184,CREDIT_CARD_DEBT,200000,200000.0,32,26.88,26.88,8822,8822.0,6,26,1,2026-09-01,ACTIVE,1,2023-03-02 00:00:00
LN00291,LN00291,USR0185,USR0185,VEHICLE_LOAN,210000,210000.0,79,8.99,8.99,3532,3532.0,21,58,7,2026-09-07,ACTIVE,1,2024-04-12 00:00:00
LN00292,LN00292,USR0185,USR0185,CREDIT_CARD_DEBT,190000,190000.0,29,41.85,41.85,10519,10519.0,4,25,2,2026-09-02,ACTIVE,1,2024-04-12 00:00:00
LN00293,LN00293,USR0186,USR0186,HOME_LOAN,4410000,4410000.0,122,9.1,9.1,55539,55539.0,55,67,3,2026-09-03,ACTIVE,1,2021-11-14 00:00:00
LN00294,LN00294,USR0187,USR0187,PERSONAL_LOAN,490000,490000.0,33,14.53,14.53,18101,18101.0,23,10,8,2026-09-08,ACTIVE,1,2024-11-24 00:00:00
